zip_code,refnis,pop_dens,income_1y,income_17y,province,commune,big_5_dist,big_15_dist
7866,51069,257,20057.53,16112.13,Hainaut,Lessines,45,36
7870,53046,93,21295.81,16918.36,Hainaut,Lens,53,13
7880,51019,147,22655.32,17822.52,Hainaut,Flobecq,49,41
7890,51017,132,22769.11,17481.45,Hainaut,Ellezelles,45,40
7900,57094,190,20685.71,16495.77,Hainaut,Leuze-en-Hainaut,68,36
7901,57094,190,20685.71,16495.77,Hainaut,Leuze-en-Hainaut,68,36
7903,57094,190,20685.71,16495.77,Hainaut,Leuze-en-Hainaut,68,36
7904,57094,190,20685.71,16495.77,Hainaut,Leuze-en-Hainaut,68,36
7906,57094,190,20685.71,16495.77,Hainaut,Leuze-en-Hainaut,68,36
7910,51065,107,22088.56,17050.77,Hainaut,Frasnes-lez-Anvaing,63,40
7911,51065,107,22088.56,17050.77,Hainaut,Frasnes-lez-Anvaing,63,40
7912,51065,107,22088.56,17050.77,Hainaut,Frasnes-lez-Anvaing,63,40
7940,51012,134,21254.74,16162.82,Hainaut,Brugelette,59,19
7941,51012,134,21254.74,16162.82,Hainaut,Brugelette,59,19
7942,51012,134,21254.74,16162.82,Hainaut,Brugelette,59,19
7943,51012,134,21254.74,16162.82,Hainaut,Brugelette,59,19
7950,51014,151,21100.23,16756.31,Hainaut,Chièvres,61,21
7951,51014,151,21100.23,16756.31,Hainaut,Chièvres,61,21
7970,51008,228,20529.87,15996.27,Hainaut,Beloeil,65,24
7971,51008,228,20529.87,15996.27,Hainaut,Beloeil,65,24
7972,51008,228,20529.87,15996.27,Hainaut,Beloeil,65,24
7973,51008,228,20529.87,15996.27,Hainaut,Beloeil,65,24
8000,31005,850,24065.44,19179.29,West-Vlaanderen,Brugge,50,0
8020,31022,302,24377.96,18990.9,West-Vlaanderen,Oostkamp,43,7
8200,31005,850,24065.44,19179.29,West-Vlaanderen,Brugge,50,0
8210,31040,386,24058.65,18474.8,West-Vlaanderen,Zedelgem,51,11
8211,31040,386,24058.65,18474.8,West-Vlaanderen,Zedelgem,51,11
8300,31043,527,32740.1,24109.0,West-Vlaanderen,Knokke-Heist,53,18
8301,31043,527,32740.1,24109.0,West-Vlaanderen,Knokke-Heist,53,18
8310,31005,850,24065.44,19179.29,West-Vlaanderen,Brugge,50,0
8340,31006,124,24257.74,18755.21,West-Vlaanderen,Damme,48,7
8370,31004,1081,22305.96,17426.84,West-Vlaanderen,Blankenberge,62,14
8377,31042,54,25033.62,19339.64,West-Vlaanderen,Zuienkerke,59,9
8380,31005,850,24065.44,19179.29,West-Vlaanderen,Brugge,50,0
8400,35013,1772,21690.8,17362.98,West-Vlaanderen,Oostende,68,26
8420,35029,275,25630.11,19845.84,West-Vlaanderen,De Haan,66,17
8421,35029,275,25630.11,19845.84,West-Vlaanderen,De Haan,66,17
8430,35011,251,23338.2,17597.33,West-Vlaanderen,Middelkerke,75,33
8431,35011,251,23338.2,17597.33,West-Vlaanderen,Middelkerke,75,33
8432,35011,251,23338.2,17597.33,West-Vlaanderen,Middelkerke,75,33
8433,35011,251,23338.2,17597.33,West-Vlaanderen,Middelkerke,75,33
8434,35011,251,23338.2,17597.33,West-Vlaanderen,Middelkerke,75,33
8450,35002,1275,23038.01,18154.7,West-Vlaanderen,Bredene,67,22
8460,35014,279,22601.61,17678.6,West-Vlaanderen,Oudenburg,61,19
8470,35005,285,22614.29,17545.16,West-Vlaanderen,Gistel,64,27
8480,35006,317,21693.55,16669.28,West-Vlaanderen,Ichtegem,63,21
8490,31012,275,25749.36,19951.78,West-Vlaanderen,Jabbeke,54,11
8500,34022,991,22379.1,18118.34,West-Vlaanderen,Kortrijk,44,0
8501,34022,991,22379.1,18118.34,West-Vlaanderen,Kortrijk,44,0
8510,34022,991,22379.1,18118.34,West-Vlaanderen,Kortrijk,44,0
8511,34022,991,22379.1,18118.34,West-Vlaanderen,Kortrijk,44,0
8520,34023,1398,21701.85,17382.42,West-Vlaanderen,Kuurne,41,4
8530,34013,1017,22145.4,17666.08,West-Vlaanderen,Harelbeke,39,5
8531,34013,1017,22145.4,17666.08,West-Vlaanderen,Harelbeke,39,5
8540,34009,746,23216.51,18097.33,West-Vlaanderen,Deerlijk,39,7
8550,34042,405,23173.58,18403.72,West-Vlaanderen,Zwevegem,43,6
8551,34042,405,23173.58,18403.72,West-Vlaanderen,Zwevegem,43,6
8552,34042,405,23173.58,18403.72,West-Vlaanderen,Zwevegem,43,6
8553,34042,405,23173.58,18403.72,West-Vlaanderen,Zwevegem,43,6
8554,34042,405,23173.58,18403.72,West-Vlaanderen,Zwevegem,43,6
8560,34041,814,22416.24,17709.52,West-Vlaanderen,Wevelgem,53,7
8570,34002,357,23651.55,18481.73,West-Vlaanderen,Anzegem,36,19
8572,34002,357,23651.55,18481.73,West-Vlaanderen,Anzegem,36,19
8573,34002,357,23651.55,18481.73,West-Vlaanderen,Anzegem,36,19
8580,34003,470,22036.38,17297.9,West-Vlaanderen,Avelgem,41,16
8581,34003,470,22036.38,17297.9,West-Vlaanderen,Avelgem,41,16
8582,34003,470,22036.38,17297.9,West-Vlaanderen,Avelgem,41,16
8583,34003,470,22036.38,17297.9,West-Vlaanderen,Avelgem,41,16
8587,34043,190,21629.23,16442.52,West-Vlaanderen,Spiere-Helkijn,58,16
8600,32003,114,21147.76,16285.21,West-Vlaanderen,Diksmuide,75,39
8610,32011,231,20949.38,16431.54,West-Vlaanderen,Kortemark,62,27
8620,38016,344,24003.17,18189.68,West-Vlaanderen,Nieuwpoort,83,44
8630,38025,129,21980.62,16966.94,West-Vlaanderen,Veurne,90,54
8640,33041,93,19729.84,15026.76,West-Vlaanderen,Vleteren,89,44
8647,32030,50,20459.1,15363.56,West-Vlaanderen,Lo-Reninge,87,48
8650,32006,186,20376.72,15799.64,West-Vlaanderen,Houthulst,70,34
8660,38008,413,23454.95,17700.57,West-Vlaanderen,De Panne,94,57
8670,38014,427,29943.28,23525.86,West-Vlaanderen,Koksijde,91,54
8680,32010,223,21485.05,16618.02,West-Vlaanderen,Koekelare,68,27
8690,38002,62,20982.36,15162.23,West-Vlaanderen,Alveringem,88,54
8691,38002,62,20982.36,15162.23,West-Vlaanderen,Alveringem,88,54
8700,37015,299,22389.91,17741.62,West-Vlaanderen,Tielt,34,22
8710,37017,462,21757.44,17048.14,West-Vlaanderen,Wielsbeke,33,15
8720,37002,334,22514.81,17384.45,West-Vlaanderen,Dentergem,28,22
8730,31003,224,23618.81,18400.66,West-Vlaanderen,Beernem,39,13
8740,37011,200,21582.29,16851.44,West-Vlaanderen,Pittem,38,21
8750,37018,221,22507.66,17081.98,West-Vlaanderen,Wingene,41,22
8755,37012,179,22648.64,17376.02,West-Vlaanderen,Ruiselede,31,29
8760,37007,377,21759.58,16862.52,West-Vlaanderen,Meulebeke,39,16
8770,36007,702,21885.54,17187.11,West-Vlaanderen,Ingelmunster,42,12
8780,37010,482,21795.29,16975.62,West-Vlaanderen,Oostrozebeke,37,15
8790,34040,898,23039.1,18369.15,West-Vlaanderen,Waregem,33,15
8791,34040,898,23039.1,18369.15,West-Vlaanderen,Waregem,33,15
8792,34040,898,23039.1,18369.15,West-Vlaanderen,Waregem,33,15
8793,34040,898,23039.1,18369.15,West-Vlaanderen,Waregem,33,15
8800,36015,1097,21783.35,17686.34,West-Vlaanderen,Roeselare,50,20
8810,36011,356,22641.85,17418.76,West-Vlaanderen,Lichtervelde,51,25
8820,31033,462,22443.16,17893.9,West-Vlaanderen,Torhout,59,19
8830,36006,268,22519.29,17618.41,West-Vlaanderen,Hooglede,53,26
8840,36019,249,20701.01,16239.38,West-Vlaanderen,Staden,65,29
8850,37020,267,22170.54,17393.66,West-Vlaanderen,Ardooie,44,20
8851,37020,267,22170.54,17393.66,West-Vlaanderen,Ardooie,44,20
8860,34025,443,22639.59,17852.12,West-Vlaanderen,Lendelede,44,8
8870,36008,1140,21911.49,17625.14,West-Vlaanderen,Izegem,46,13
8880,36010,393,21338.22,16910.58,West-Vlaanderen,Ledegem,60,14
8890,36012,323,21633.45,16748.95,West-Vlaanderen,Moorslede,64,22
8900,33011,270,21773.87,17154.02,West-Vlaanderen,Ieper,76,30
8902,33011,270,21773.87,17154.02,West-Vlaanderen,Ieper,76,30
8904,33011,270,21773.87,17154.02,West-Vlaanderen,Ieper,76,30
8906,33011,270,21773.87,17154.02,West-Vlaanderen,Ieper,76,30
8908,33011,270,21773.87,17154.02,West-Vlaanderen,Ieper,76,30
8920,33040,152,21746.15,16197.41,West-Vlaanderen,Langemark-Poelkapelle,73,33
8930,34027,1037,19797.17,16001.81,West-Vlaanderen,Menen,58,12
8940,33029,438,20260.4,16112.57,West-Vlaanderen,Wervik,65,20
8950,33039,84,20521.81,15338.58,West-Vlaanderen,Heuvelland,83,37
8951,33039,84,20521.81,15338.58,West-Vlaanderen,Heuvelland,83,37
8952,33039,84,20521.81,15338.58,West-Vlaanderen,Heuvelland,83,37
8953,33039,84,20521.81,15338.58,West-Vlaanderen,Heuvelland,83,37
8954,33039,84,20521.81,15338.58,West-Vlaanderen,Heuvelland,83,37
8956,33039,84,20521.81,15338.58,West-Vlaanderen,Heuvelland,83,37
8957,33016,298,16797.24,13372.89,West-Vlaanderen,Mesen,76,30
8958,33039,84,20521.81,15338.58,West-Vlaanderen,Heuvelland,83,37
8970,33021,165,20644.65,15950.98,West-Vlaanderen,Poperinge,88,43
8972,33021,165,20644.65,15950.98,West-Vlaanderen,Poperinge,88,43
8978,33021,165,20644.65,15950.98,West-Vlaanderen,Poperinge,88,43
8980,33037,186,21549.11,16642.05,West-Vlaanderen,Zonnebeke,71,26
9000,44021,1708,22427.8,17896.53,Oost-Vlaanderen,Gent,0,0
9030,44021,1708,22427.8,17896.53,Oost-Vlaanderen,Gent,0,0
9031,44021,1708,22427.8,17896.53,Oost-Vlaanderen,Gent,0,0
9032,44021,1708,22427.8,17896.53,Oost-Vlaanderen,Gent,0,0
9040,44021,1708,22427.8,17896.53,Oost-Vlaanderen,Gent,0,0
9041,44021,1708,22427.8,17896.53,Oost-Vlaanderen,Gent,0,0
9042,44021,1708,22427.8,17896.53,Oost-Vlaanderen,Gent,0,0
9050,44021,1708,22427.8,17896.53,Oost-Vlaanderen,Gent,0,0
9051,44021,1708,22427.8,17896.53,Oost-Vlaanderen,Gent,0,0
9052,44021,1708,22427.8,17896.53,Oost-Vlaanderen,Gent,0,0
9060,43018,995,20819.56,17279.05,Oost-Vlaanderen,Zelzate,23,23
